,Time Series Workbook,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"6202.0 Labour Force, Australia",,,,,,,,,,,
,"Table 010. Labour force status by Sex, State and Territory - Trend, Seasonally adjusted and Original",,,,,,,,,,,
,,,,,,,,,,,,
,,,Enquiries,,,,,,,,,
,,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,
,,,,,,,,,,,,
> Employed full-time ;  Persons ;  > New South Wales ;,,,Original,A84423609C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Victoria ;,,,Trend,A84424029A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Victoria ;,,,Seasonally Adjusted,A84423357V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Victoria ;,,,Original,A84423693F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Queensland ;,,,Trend,A84423959C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Queensland ;,,,Seasonally Adjusted,A84423287X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Queensland ;,,,Original,A84423623X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > South Australia ;,,,Trend,A84424043W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > South Australia ;,,,Seasonally Adjusted,A84423371R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > South Australia ;,,,Original,A84423707J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Western Australia ;,,,Trend,A84424001X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Western Australia ;,,,Seasonally Adjusted,A84423329K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Western Australia ;,,,Original,A84423665W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Tasmania ;,,,Trend,A84423973X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Tasmania ;,,,Seasonally Adjusted,A84423301J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Tasmania ;,,,Original,A84423637L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Northern Territory ;,,,Trend,A84424015L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Northern Territory ;,,,Original,A84423679K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Australian Capital Territory ;,,,Trend,A84423987L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  Persons ;  > Australian Capital Territory ;,,,Original,A84423651J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  Australia ;,,,Trend,A84423111V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  Australia ;,,,Seasonally Adjusted,A84423027C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  Australia ;,,,Original,A84423069A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > New South Wales ;,,,Trend,A84423833W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > New South Wales ;,,,Seasonally Adjusted,A84423161T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > New South Wales ;,,,Original,A84423497W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > Victoria ;,,,Trend,A84423917F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > Victoria ;,,,Seasonally Adjusted,A84423245A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > Victoria ;,,,Original,A84423581L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > Queensland ;,,,Trend,A84423847K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > Queensland ;,,,Seasonally Adjusted,A84423175F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > Queensland ;,,,Original,A84423511F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > South Australia ;,,,Trend,A84423931A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > South Australia ;,,,Seasonally Adjusted,A84423259R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
> Employed full-time ;  > Males ;  > South Australia ;,,,Original,A84423595A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
